IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
93.123.17.146,4,4,0.00,6.34,0.00
92.223.124.5,4,4,0.00,6.35,0.00
92.223.124.29,4,4,0.00,6.37,0.00
93.123.17.147,4,4,0.00,6.42,0.00
92.223.124.9,4,4,0.00,6.45,0.00
92.223.124.17,4,4,0.00,6.51,0.00
93.123.17.145,4,4,0.00,6.53,0.00
92.223.124.45,4,4,0.00,6.58,0.00
93.123.17.165,4,4,0.00,6.59,0.00
93.123.17.164,4,4,0.00,6.62,0.00
92.223.124.41,4,4,0.00,6.65,0.00
92.223.124.15,4,4,0.00,6.66,0.00
93.123.17.168,4,4,0.00,6.69,0.00
92.223.124.37,4,4,0.00,6.71,0.00
93.123.17.144,4,4,0.00,6.73,0.00
93.123.17.135,4,4,0.00,6.76,0.00
93.123.17.133,4,4,0.00,6.77,0.00
93.123.17.148,4,4,0.00,6.78,0.00
92.223.124.37,4,4,0.00,6.89,0.00
93.123.17.167,4,4,0.00,6.89,0.00
93.123.17.173,4,4,0.00,6.89,0.00
93.123.17.142,4,4,0.00,6.91,0.00
93.123.17.157,4,4,0.00,7.00,0.00
93.123.17.155,4,4,0.00,7.01,0.00
93.123.17.165,4,4,0.00,7.01,0.00
92.223.124.36,4,4,0.00,7.06,0.00
92.223.124.22,4,4,0.00,7.07,0.00
93.123.17.151,4,4,0.00,7.17,0.00
93.123.17.140,4,4,0.00,7.18,0.00
92.223.124.12,4,4,0.00,7.22,0.00
93.123.17.132,4,4,0.00,7.28,0.00
93.123.17.163,4,4,0.00,7.38,0.00
93.123.17.162,4,4,0.00,7.39,0.00
93.123.17.158,4,4,0.00,7.43,0.00
93.123.17.155,4,4,0.00,7.45,0.00
93.123.17.167,4,4,0.00,7.49,0.00
93.123.17.174,4,4,0.00,7.52,0.00
92.223.124.33,4,4,0.00,7.54,0.00
92.223.124.26,4,4,0.00,7.54,0.00
93.123.17.160,4,4,0.00,7.64,0.00
92.223.124.31,4,4,0.00,7.65,0.00
92.223.124.62,4,4,0.00,7.68,0.00
93.123.17.157,4,4,0.00,7.70,0.00
92.223.124.40,4,4,0.00,7.73,0.00
93.123.17.151,4,4,0.00,7.77,0.00
93.123.17.161,4,4,0.00,7.81,0.00
93.123.17.169,4,4,0.00,7.81,0.00
92.223.124.24,4,4,0.00,7.82,0.00
93.123.17.163,4,4,0.00,7.88,0.00
92.223.124.43,4,4,0.00,7.91,0.00
93.123.17.150,4,4,0.00,7.98,0.00
92.223.124.38,4,4,0.00,8.11,0.00
93.123.17.134,4,4,0.00,8.15,0.00
93.123.17.156,4,4,0.00,8.18,0.00
92.223.124.42,4,4,0.00,8.23,0.00
93.123.17.136,4,4,0.00,8.38,0.00
93.123.17.171,4,4,0.00,8.42,0.00
92.223.124.39,4,4,0.00,8.44,0.00
93.123.17.154,4,4,0.00,8.49,0.00
93.123.17.137,4,4,0.00,8.61,0.00
93.123.17.142,4,4,0.00,8.69,0.00
93.123.17.159,4,4,0.00,8.71,0.00
93.123.17.153,4,4,0.00,8.72,0.00
92.223.124.5,4,4,0.00,8.88,0.00
92.223.112.28,4,4,0.00,8.89,0.00
93.123.17.164,4,4,0.00,8.90,0.00
92.223.112.58,4,4,0.00,8.94,0.00
92.223.124.32,4,4,0.00,8.94,0.00
92.223.124.45,4,4,0.00,8.94,0.00
92.223.112.61,4,4,0.00,9.05,0.00
92.223.112.12,4,4,0.00,9.12,0.00
92.223.124.25,4,4,0.00,9.14,0.00
92.223.124.16,4,4,0.00,9.15,0.00
92.223.112.60,4,4,0.00,9.17,0.00
92.223.124.48,4,4,0.00,9.27,0.00
92.223.124.36,4,4,0.00,9.34,0.00
92.223.124.10,4,4,0.00,9.35,0.00
92.223.112.28,4,4,0.00,9.46,0.00
93.123.17.138,4,4,0.00,9.47,0.00
93.123.17.140,4,4,0.00,9.49,0.00
92.223.112.55,4,4,0.00,9.63,0.00
92.223.124.4,4,4,0.00,9.63,0.00
93.123.17.169,4,4,0.00,9.67,0.00
93.123.17.138,4,4,0.00,9.67,0.00
93.123.17.170,4,4,0.00,9.86,0.00
92.223.112.11,4,4,0.00,9.88,0.00
93.123.17.170,4,4,0.00,9.95,0.00
93.123.17.162,4,4,0.00,10.06,0.00
93.123.17.160,4,4,0.00,10.09,0.00
93.123.17.166,4,4,0.00,10.10,0.00
93.123.17.141,4,4,0.00,10.13,0.00
93.123.11.14,4,4,0.00,10.53,0.00
93.123.11.11,4,4,0.00,10.57,0.00
93.123.11.13,4,4,0.00,10.61,0.00
93.123.11.13,4,4,0.00,10.67,0.00
92.223.124.44,4,4,0.00,10.68,0.00
92.223.112.23,4,4,0.00,10.72,0.00
93.123.17.144,4,4,0.00,10.86,0.00
92.223.112.26,4,4,0.00,10.90,0.00
93.123.11.12,4,4,0.00,11.03,0.00
93.123.11.61,4,4,0.00,11.15,0.00
92.223.124.39,4,4,0.00,11.16,0.00
92.223.112.12,4,4,0.00,11.27,0.00
92.223.112.4,4,4,0.00,11.27,0.00
92.223.124.28,4,4,0.00,11.33,0.00
92.223.112.57,4,4,0.00,11.36,0.00
92.223.124.41,4,4,0.00,11.50,0.00
93.123.17.143,4,4,0.00,11.60,0.00
93.123.17.174,4,4,0.00,11.71,0.00
93.123.11.62,4,4,0.00,11.90,0.00
93.123.11.12,4,4,0.00,11.95,0.00
92.223.112.62,4,4,0.00,12.03,0.00
92.223.124.6,4,4,0.00,12.04,0.00
92.223.112.22,4,4,0.00,12.36,0.00
92.223.74.20,4,4,0.00,12.72,0.00
93.123.17.172,4,4,0.00,12.90,0.00
93.123.11.11,4,4,0.00,13.09,0.00
94.176.183.12,4,4,0.00,13.13,0.00
93.123.11.14,4,4,0.00,13.16,0.00
94.176.183.61,4,4,0.00,13.21,0.00
94.176.183.5,4,4,0.00,13.34,0.00
94.176.183.7,4,4,0.00,13.40,0.00
93.123.17.171,4,4,0.00,13.47,0.00
93.123.17.158,4,4,0.00,13.48,0.00
93.123.17.154,4,4,0.00,13.55,0.00
94.176.183.11,4,4,0.00,13.58,0.00
94.176.183.62,4,4,0.00,13.83,0.00
80.15.252.9,4,4,0.00,13.83,0.00
92.223.124.4,4,4,0.00,13.89,0.00
94.176.183.11,4,4,0.00,14.31,0.00
94.176.183.6,4,4,0.00,14.31,0.00
92.223.124.6,4,4,0.00,14.32,0.00
94.176.183.8,4,4,0.00,14.50,0.00
80.15.252.33,4,4,0.00,14.51,0.00
80.15.252.33,4,4,0.00,14.80,0.00
93.123.17.139,4,4,0.00,14.85,0.00
80.15.252.1,4,4,0.00,14.92,0.00
80.15.252.25,4,4,0.00,15.29,0.00
92.223.124.28,4,4,0.00,15.34,0.00
80.15.252.9,4,4,0.00,15.54,0.00
94.176.183.8,4,4,0.00,15.55,0.00
80.15.252.25,4,4,0.00,15.56,0.00
92.223.124.13,4,4,0.00,15.74,0.00
94.176.183.5,4,4,0.00,16.11,0.00
45.82.101.7,4,4,0.00,16.39,0.00
80.15.252.1,4,4,0.00,17.25,0.00
94.176.183.12,4,4,0.00,17.26,0.00
94.176.183.7,4,4,0.00,17.36,0.00
92.223.74.26,4,4,0.00,17.37,0.00
94.176.183.6,4,4,0.00,17.43,0.00
92.223.74.20,4,4,0.00,17.77,0.00
92.223.124.10,4,4,0.00,18.06,0.00
45.82.101.8,4,4,0.00,18.31,0.00
80.240.113.11,4,4,0.00,18.48,0.00
93.123.17.150,4,4,0.00,18.54,0.00
45.82.101.5,4,4,0.00,19.33,0.00
80.240.113.6,4,4,0.00,19.41,0.00
92.223.112.56,4,4,0.00,19.56,0.00
80.240.113.4,4,4,0.00,19.64,0.00
80.240.113.8,4,4,0.00,19.66,0.00
45.82.101.5,4,4,0.00,19.71,0.00
45.82.101.6,4,4,0.00,19.72,0.00
92.223.74.21,4,4,0.00,19.88,0.00
80.240.113.10,4,4,0.00,19.94,0.00
80.240.113.9,4,4,0.00,20.10,0.00
80.240.113.5,4,4,0.00,20.20,0.00
80.240.113.12,4,4,0.00,20.31,0.00
45.82.101.9,4,4,0.00,20.64,0.00
80.240.113.12,4,4,0.00,20.67,0.00
92.223.92.26,4,4,0.00,20.81,0.00
80.240.113.7,4,4,0.00,21.02,0.00
80.240.113.8,4,4,0.00,21.06,0.00
92.223.92.24,4,4,0.00,21.19,0.00
80.240.113.11,4,4,0.00,21.23,0.00
80.240.113.10,4,4,0.00,21.24,0.00
80.240.113.13,4,4,0.00,21.37,0.00
80.240.113.14,4,4,0.00,21.43,0.00
92.223.74.21,4,4,0.00,21.43,0.00
5.101.217.4,4,4,0.00,21.43,0.00
92.223.92.30,4,4,0.00,21.53,0.00
80.240.113.61,4,4,0.00,21.57,0.00
80.240.113.14,4,4,0.00,21.58,0.00
80.240.113.7,4,4,0.00,21.64,0.00
45.82.101.9,4,4,0.00,21.77,0.00
5.101.217.4,4,4,0.00,21.77,0.00
92.223.92.26,4,4,0.00,22.01,0.00
92.223.92.25,4,4,0.00,22.02,0.00
92.223.55.4,4,4,0.00,22.02,0.00
92.223.124.30,4,4,0.00,22.04,0.00
92.223.55.62,4,4,0.00,22.21,0.00
92.223.92.23,4,4,0.00,22.22,0.00
92.223.92.23,4,4,0.00,22.32,0.00
93.123.17.173,4,4,0.00,22.36,0.00
45.82.101.8,4,4,0.00,22.71,0.00
45.82.101.62,4,4,0.00,22.96,0.00
45.82.101.7,4,4,0.00,23.21,0.00
80.240.113.4,4,4,0.00,23.24,0.00
92.223.92.24,4,4,0.00,23.47,0.00
92.223.55.6,4,4,0.00,23.70,0.00
80.240.113.13,4,4,0.00,23.81,0.00
92.223.55.5,4,4,0.00,23.82,0.00
185.244.209.4,4,4,0.00,23.93,0.00
80.15.252.17,4,4,0.00,23.97,0.00
80.240.113.62,4,4,0.00,24.01,0.00
185.244.209.61,4,4,0.00,24.01,0.00
80.240.113.5,4,4,0.00,24.66,0.00
185.244.209.62,4,4,0.00,24.93,0.00
80.240.113.6,4,4,0.00,24.93,0.00
80.240.113.9,4,4,0.00,25.59,0.00
92.223.55.5,4,4,0.00,25.60,0.00
93.123.17.136,4,4,0.00,25.72,0.00
92.223.74.26,4,4,0.00,25.85,0.00
185.244.209.4,4,4,0.00,25.93,0.00
194.44.246.206,4,4,0.00,26.95,0.00
213.156.156.62,4,4,0.00,27.07,0.00
213.156.156.4,4,4,0.00,27.74,0.00
92.223.124.17,4,4,0.00,27.95,0.00
185.249.133.4,4,4,0.00,28.30,0.00
185.249.133.4,4,4,0.00,28.30,0.00
213.156.156.5,4,4,0.00,28.39,0.00
37.17.119.116,4,4,0.00,28.54,0.00
194.44.246.206,4,4,0.00,28.72,0.00
213.156.156.61,4,4,0.00,29.05,0.00
37.17.119.114,4,4,0.00,29.08,0.00
213.156.156.4,4,4,0.00,29.14,0.00
92.223.92.22,4,4,0.00,29.44,0.00
37.17.119.115,4,4,0.00,29.57,0.00
5.101.219.5,4,4,0.00,30.18,0.00
45.82.101.6,4,4,0.00,30.26,0.00
217.21.47.162,4,4,0.00,30.50,0.00
92.223.92.22,4,4,0.00,30.52,0.00
5.188.7.62,4,4,0.00,30.69,0.00
5.188.7.13,4,4,0.00,30.89,0.00
5.188.7.61,4,4,0.00,31.05,0.00
217.21.47.174,4,4,0.00,31.20,0.00
92.223.92.25,4,4,0.00,31.39,0.00
5.101.219.6,4,4,0.00,31.42,0.00
5.188.7.12,4,4,0.00,31.61,0.00
93.123.38.4,4,4,0.00,31.72,0.00
95.85.69.6,4,4,0.00,31.85,0.00
93.123.38.5,4,4,0.00,31.99,0.00
5.188.7.15,4,4,0.00,32.06,0.00
5.188.7.12,4,4,0.00,32.07,0.00
5.101.219.5,4,4,0.00,32.41,0.00
92.223.55.4,4,4,0.00,33.25,0.00
93.123.38.5,4,4,0.00,33.32,0.00
79.133.108.17,4,4,0.00,33.61,0.00
79.133.108.9,4,4,0.00,33.91,0.00
5.188.7.16,4,4,0.00,34.01,0.00
79.133.108.5,4,4,0.00,34.04,0.00
79.133.108.8,4,4,0.00,34.26,0.00
79.133.108.26,4,4,0.00,34.43,0.00
79.133.108.15,4,4,0.00,34.52,0.00
213.156.156.5,4,4,0.00,34.54,0.00
79.133.108.9,4,4,0.00,34.71,0.00
79.133.108.5,4,4,0.00,34.83,0.00
93.123.38.62,4,4,0.00,34.90,0.00
93.123.38.4,4,4,0.00,35.06,0.00
79.133.108.6,4,4,0.00,35.11,0.00
79.133.108.15,4,4,0.00,35.14,0.00
79.133.108.23,4,4,0.00,35.21,0.00
79.133.108.17,4,4,0.00,35.42,0.00
80.15.252.17,4,4,0.00,35.48,0.00
79.133.108.6,4,4,0.00,35.63,0.00
5.188.121.173,4,4,0.00,36.10,0.00
79.133.108.14,4,4,0.00,36.13,0.00
79.133.108.23,4,4,0.00,36.24,0.00
79.133.108.16,4,4,0.00,36.27,0.00
79.133.108.24,4,4,0.00,36.27,0.00
5.188.121.136,4,4,0.00,36.30,0.00
95.85.69.7,4,4,0.00,36.55,0.00
95.85.69.61,4,4,0.00,36.75,0.00
95.85.69.6,4,4,0.00,36.78,0.00
5.188.126.7,4,4,0.00,36.87,0.00
5.188.121.182,4,4,0.00,36.88,0.00
5.188.121.133,4,4,0.00,36.88,0.00
5.188.121.176,4,4,0.00,36.91,0.00
79.133.108.10,4,4,0.00,36.93,0.00
5.188.121.191,4,4,0.00,37.12,0.00
5.188.121.177,4,4,0.00,37.30,0.00
5.188.121.185,4,4,0.00,37.38,0.00
5.188.121.184,4,4,0.00,37.43,0.00
5.188.121.156,4,4,0.00,37.47,0.00
79.133.108.25,4,4,0.00,37.61,0.00
5.188.121.179,4,4,0.00,37.61,0.00
5.188.121.166,4,4,0.00,37.72,0.00
92.223.123.37,4,4,0.00,37.86,0.00
92.38.142.30,4,4,0.00,37.88,0.00
92.223.123.20,4,4,0.00,37.89,0.00
5.188.121.157,4,4,0.00,37.92,0.00
5.188.121.170,4,4,0.00,38.00,0.00
79.133.108.24,4,4,0.00,38.01,0.00
5.188.126.6,4,4,0.00,38.02,0.00
92.223.122.182,4,4,0.00,38.05,0.00
92.223.123.50,4,4,0.00,38.08,0.00
5.188.126.5,4,4,0.00,38.10,0.00
5.188.121.135,4,4,0.00,38.16,0.00
92.223.123.45,4,4,0.00,38.18,0.00
92.223.123.46,4,4,0.00,38.19,0.00
5.188.121.151,4,4,0.00,38.20,0.00
92.223.123.7,4,4,0.00,38.20,0.00
5.188.121.181,4,4,0.00,38.21,0.00
92.223.122.189,4,4,0.00,38.29,0.00
92.223.123.40,4,4,0.00,38.29,0.00
5.188.121.167,4,4,0.00,38.33,0.00
92.223.123.5,4,4,0.00,38.35,0.00
5.188.121.181,4,4,0.00,38.37,0.00
92.223.123.62,4,4,0.00,38.41,0.00
5.188.121.134,4,4,0.00,38.44,0.00
92.223.123.8,4,4,0.00,38.51,0.00
5.188.121.183,4,4,0.00,38.62,0.00
5.188.121.163,4,4,0.00,38.62,0.00
79.133.108.16,4,4,0.00,38.62,0.00
92.223.122.172,4,4,0.00,38.63,0.00
195.22.198.49,4,4,0.00,38.66,0.00
92.223.122.178,4,4,0.00,38.71,0.00
5.188.121.172,4,4,0.00,38.73,0.00
5.188.121.178,4,4,0.00,38.80,0.00
5.188.126.6,4,4,0.00,38.84,0.00
92.223.123.41,4,4,0.00,38.89,0.00
5.188.126.14,4,4,0.00,38.92,0.00
79.133.108.7,4,4,0.00,38.96,0.00
92.223.123.21,4,4,0.00,38.97,0.00
92.223.122.172,4,4,0.00,39.03,0.00
5.188.121.137,4,4,0.00,39.03,0.00
5.188.121.160,4,4,0.00,39.05,0.00
5.188.121.135,4,4,0.00,39.11,0.00
5.188.121.199,4,4,0.00,39.11,0.00
92.223.123.17,4,4,0.00,39.13,0.00
92.223.122.177,4,4,0.00,39.13,0.00
197.215.140.234,4,4,0.00,39.14,0.00
5.188.126.5,4,4,0.00,39.15,0.00
195.22.198.49,4,4,0.00,39.19,0.00
5.188.121.180,4,4,0.00,39.21,0.00
92.223.122.167,4,4,0.00,39.24,0.00
5.188.126.4,4,4,0.00,39.24,0.00
5.188.121.137,4,4,0.00,39.28,0.00
92.223.122.190,4,4,0.00,39.28,0.00
5.188.121.138,4,4,0.00,39.28,0.00
197.215.140.234,4,4,0.00,39.30,0.00
92.223.122.187,4,4,0.00,39.32,0.00
5.188.121.140,4,4,0.00,39.37,0.00
5.188.121.165,4,4,0.00,39.38,0.00
5.188.121.136,4,4,0.00,39.43,0.00
92.223.122.188,4,4,0.00,39.44,0.00
92.223.122.184,4,4,0.00,39.45,0.00
92.223.123.50,4,4,0.00,39.46,0.00
5.188.121.159,4,4,0.00,39.48,0.00
92.223.122.179,4,4,0.00,39.48,0.00
92.223.122.171,4,4,0.00,39.51,0.00
79.133.108.14,4,4,0.00,39.58,0.00
92.223.123.10,4,4,0.00,39.59,0.00
5.188.121.162,4,4,0.00,39.60,0.00
5.188.121.146,4,4,0.00,39.61,0.00
92.223.123.41,4,4,0.00,39.61,0.00
5.188.121.191,4,4,0.00,39.64,0.00
92.223.123.34,4,4,0.00,39.66,0.00
92.223.123.4,4,4,0.00,39.69,0.00
92.223.123.6,4,4,0.00,39.70,0.00
92.223.64.5,4,4,0.00,39.70,0.00
92.223.64.8,4,4,0.00,39.79,0.00
5.188.121.164,4,4,0.00,39.81,0.00
92.223.122.219,4,4,0.00,39.85,0.00
92.223.122.180,4,4,0.00,39.85,0.00
5.188.121.175,4,4,0.00,39.87,0.00
91.243.87.4,4,4,0.00,39.87,0.00
5.188.121.166,4,4,0.00,39.87,0.00
5.188.121.194,4,4,0.00,40.00,0.00
92.223.122.188,4,4,0.00,40.06,0.00
5.188.121.165,4,4,0.00,40.08,0.00
5.188.126.7,4,4,0.00,40.08,0.00
92.223.122.218,4,4,0.00,40.10,0.00
79.133.108.13,4,4,0.00,40.15,0.00
92.223.64.4,4,4,0.00,40.17,0.00
92.223.123.61,4,4,0.00,40.19,0.00
92.223.122.186,4,4,0.00,40.20,0.00
92.223.122.170,4,4,0.00,40.22,0.00
5.188.121.183,4,4,0.00,40.23,0.00
5.188.121.198,4,4,0.00,40.24,0.00
5.188.121.196,4,4,0.00,40.24,0.00
92.223.122.184,4,4,0.00,40.27,0.00
92.223.122.178,4,4,0.00,40.27,0.00
5.188.121.153,4,4,0.00,40.36,0.00
92.223.123.30,4,4,0.00,40.41,0.00
92.223.123.51,4,4,0.00,40.45,0.00
92.223.123.11,4,4,0.00,40.45,0.00
92.223.123.47,4,4,0.00,40.50,0.00
92.223.123.49,4,4,0.00,40.51,0.00
5.188.121.158,4,4,0.00,40.52,0.00
95.85.69.7,4,4,0.00,40.62,0.00
92.223.123.15,4,4,0.00,40.67,0.00
91.243.87.4,4,4,0.00,40.68,0.00
92.223.123.32,4,4,0.00,40.69,0.00
92.223.122.173,4,4,0.00,40.70,0.00
92.223.123.36,4,4,0.00,40.79,0.00
92.223.122.183,4,4,0.00,40.81,0.00
92.223.123.31,4,4,0.00,40.83,0.00
5.188.121.144,4,4,0.00,40.83,0.00
5.188.121.201,4,4,0.00,40.89,0.00
92.223.123.14,4,4,0.00,40.90,0.00
92.223.123.19,4,4,0.00,40.90,0.00
92.223.122.173,4,4,0.00,40.94,0.00
5.188.121.200,4,4,0.00,40.95,0.00
92.223.122.174,4,4,0.00,41.00,0.00
92.223.122.185,4,4,0.00,41.02,0.00
92.223.123.51,4,4,0.00,41.05,0.00
5.188.121.184,4,4,0.00,41.06,0.00
92.223.123.16,4,4,0.00,41.07,0.00
92.223.122.169,4,4,0.00,41.07,0.00
79.133.108.26,4,4,0.00,41.07,0.00
5.188.121.195,4,4,0.00,41.11,0.00
5.188.121.197,4,4,0.00,41.12,0.00
92.223.123.32,4,4,0.00,41.13,0.00
92.223.122.186,4,4,0.00,41.13,0.00
5.188.121.185,4,4,0.00,41.17,0.00
92.223.64.9,4,4,0.00,41.24,0.00
5.188.121.182,4,4,0.00,41.26,0.00
5.188.121.192,4,4,0.00,41.27,0.00
92.223.123.43,4,4,0.00,41.28,0.00
202.78.162.61,4,4,0.00,41.32,0.00
5.188.121.132,4,4,0.00,41.42,0.00
92.223.64.10,4,4,0.00,41.52,0.00
185.158.211.186,4,4,0.00,41.53,0.00
92.223.123.12,4,4,0.00,41.55,0.00
202.78.162.6,4,4,0.00,41.56,0.00
5.188.121.134,4,4,0.00,41.61,0.00
92.223.122.169,4,4,0.00,41.73,0.00
5.188.121.138,4,4,0.00,41.93,0.00
92.223.122.167,4,4,0.00,41.94,0.00
91.243.87.5,4,4,0.00,41.96,0.00
92.223.123.9,4,4,0.00,42.06,0.00
92.223.123.22,4,4,0.00,42.06,0.00
5.188.121.192,4,4,0.00,42.07,0.00
92.223.64.12,4,4,0.00,42.08,0.00
92.223.122.253,4,4,0.00,42.16,0.00
92.223.122.171,4,4,0.00,42.25,0.00
92.223.122.190,4,4,0.00,42.26,0.00
92.223.122.165,4,4,0.00,42.27,0.00
92.223.122.181,4,4,0.00,42.27,0.00
5.188.121.143,4,4,0.00,42.33,0.00
5.188.121.168,4,4,0.00,42.38,0.00
5.188.121.132,4,4,0.00,42.40,0.00
92.223.123.33,4,4,0.00,42.42,0.00
79.133.108.4,4,4,0.00,42.43,0.00
92.38.142.25,4,4,0.00,42.55,0.00
92.223.122.168,4,4,0.00,42.55,0.00
92.223.64.14,4,4,0.00,42.56,0.00
202.78.162.5,4,4,0.00,42.57,0.00
202.78.162.62,4,4,0.00,42.73,0.00
79.133.108.10,4,4,0.00,42.74,0.00
92.223.122.180,4,4,0.00,42.77,0.00
92.223.122.186,4,4,0.00,42.79,0.00
92.223.64.12,4,4,0.00,42.86,0.00
92.38.142.21,4,4,0.00,42.91,0.00
92.223.122.177,4,4,0.00,43.03,0.00
92.223.122.172,4,4,0.00,43.04,0.00
92.38.142.29,4,4,0.00,43.07,0.00
5.188.121.193,4,4,0.00,43.08,0.00
92.223.122.166,4,4,0.00,43.12,0.00
79.133.108.25,4,4,0.00,43.15,0.00
92.223.122.185,4,4,0.00,43.16,0.00
202.78.162.5,4,4,0.00,43.16,0.00
92.223.123.46,4,4,0.00,43.20,0.00
202.78.162.4,4,4,0.00,43.23,0.00
92.223.122.164,4,4,0.00,43.39,0.00
185.158.211.189,4,4,0.00,43.39,0.00
92.223.123.48,4,4,0.00,43.39,0.00
92.223.122.189,4,4,0.00,43.60,0.00
91.243.87.62,4,4,0.00,43.64,0.00
92.223.122.168,4,4,0.00,43.68,0.00
80.93.210.4,4,4,0.00,43.70,0.00
92.38.142.21,4,4,0.00,44.04,0.00
80.93.210.4,4,4,0.00,44.04,0.00
79.133.108.4,4,4,0.00,44.07,0.00
5.188.121.141,4,4,0.00,44.11,0.00
92.223.123.13,4,4,0.00,44.20,0.00
92.223.123.18,4,4,0.00,44.27,0.00
92.223.123.48,4,4,0.00,44.31,0.00
92.38.142.25,4,4,0.00,44.33,0.00
92.223.122.177,4,4,0.00,44.40,0.00
5.101.219.14,4,4,0.00,44.44,0.00
92.223.64.6,4,4,0.00,44.70,0.00
5.188.121.178,4,4,0.00,44.95,0.00
5.101.219.6,4,4,0.00,45.06,0.00
92.223.123.24,4,4,0.00,45.07,0.00
92.223.122.185,4,4,0.00,45.19,0.00
92.223.123.34,4,4,0.00,45.25,0.00
5.188.121.133,4,4,0.00,45.27,0.00
91.243.87.5,4,4,0.00,45.30,0.00
92.223.64.8,4,4,0.00,45.39,0.00
92.223.123.20,4,4,0.00,45.40,0.00
79.133.108.8,4,4,0.00,45.57,0.00
197.215.140.235,4,4,0.00,45.64,0.00
92.223.124.32,4,4,0.00,45.84,0.00
92.223.122.252,4,4,0.00,46.02,0.00
5.188.121.145,4,4,0.00,46.02,0.00
92.223.122.169,4,4,0.00,46.04,0.00
92.223.122.184,4,4,0.00,46.12,0.00
92.223.122.182,4,4,0.00,46.16,0.00
5.188.121.147,4,4,0.00,46.85,0.00
197.215.140.235,4,4,0.00,47.31,0.00
92.223.123.59,4,4,0.00,47.41,0.00
92.223.122.170,4,4,0.00,47.65,0.00
5.188.121.163,4,4,0.00,47.76,0.00
79.133.108.13,4,4,0.00,47.81,0.00
92.223.122.166,4,4,0.00,48.03,0.00
185.158.211.186,4,4,0.00,48.27,0.00
92.223.122.174,4,4,0.00,48.28,0.00
92.223.122.188,4,4,0.00,48.29,0.00
92.223.123.26,4,4,0.00,48.31,0.00
92.223.123.25,4,4,0.00,48.35,0.00
5.188.121.162,4,4,0.00,48.67,0.00
92.223.122.165,4,4,0.00,48.86,0.00
202.78.162.6,4,4,0.00,49.02,0.00
92.223.123.29,4,4,0.00,49.22,0.00
95.85.69.62,4,4,0.00,49.43,0.00
79.133.108.7,4,4,0.00,50.04,0.00
92.223.64.13,4,4,0.00,50.17,0.00
5.188.121.161,4,4,0.00,50.19,0.00
92.223.43.13,4,4,0.00,50.35,0.00
92.223.55.6,4,4,0.00,50.67,0.00
92.223.122.179,4,4,0.00,50.82,0.00
92.223.64.7,4,4,0.00,51.23,0.00
92.223.122.164,4,4,0.00,51.49,0.00
92.223.123.35,4,4,0.00,51.75,0.00
5.188.121.149,4,4,0.00,51.89,0.00
92.223.123.23,4,4,0.00,52.16,0.00
92.223.122.173,4,4,0.00,52.22,0.00
5.188.121.253,4,4,0.00,52.35,0.00
79.133.108.62,4,4,0.00,52.52,0.00
